PlanPrecios;AddOn;limite;establecimiento;ppm;Limite_SMS;limite_Data_MB;Cuota;tarifa_MB;coste_SMS
VEGA;Free_Inter_top2;?;0.182;0.242;?;?;?;?;?
2L3RE;RED M (2ª Linea);?;0.000;0.000;?;9,216;30.0000;?;?
2LMIN;+ LINEAS MINI;?;0.300;0.000;?;2,560;15.0000;?;0.1200
TRMPL;Red M Plus;?;0.000;0.000;?;15,360;44.0000;?;0.0000
PCV01;CONVERGENTE ONE S;12,000;0.300;0.250;?;6,144;29.0000;?;0.1200
TARRM;RED M;?;0.000;0.000;?;10,240;39.0000;?;?
PPVSP;PPVSP;3,600;0.182;0.242;0;1,024;15.0000;?;0.1815
RSCLA;RED M;?;0.000;0.000;?;4,096;43.0000;?;?
RXLCL;RED XL;?;0.000;0.000;?;7,168;60.0000;?;0.0000
SSTAR;SMART S;12,000;0.300;0.250;?;5,939;27.0000;?;0.1200
TARRX;RED XL;?;0.000;0.000;?;30,720;66.0000;?;0.0000
B2TAR;SMART S;12,000;0.300;0.250;?;5,939;27.0000;?;0.1200
JADE;Cost_Conscious;?;0.182;0.242;?;?;?;?;?
RLTAR;RED L;?;0.000;0.000;?;20,480;49.0000;?;0.0000
ETNICA;Etnica;?;0.303;0.073;0;?;?;?;0.1815
UNLIM;RED L;?;0.000;0.000;?;20,480;49.0000;?;0.0000
SMTAR_C;SMART M C;12,000;0.182;0.242;?;1,126;13.0000;?;0.1200
TRLPL;Red L Plus;?;0.000;0.000;?;25,600;59.0000;?;0.0000
VEGA;Free_Voice_top1;6,000;0.182;0.242;?;?;?;?;?
JADE;Free_SMS;?;0.182;0.362;100;?;?;?;?
RLCLA_C;RED L C;?;0.000;0.000;?;5,120;47.0000;?;0.0000
ETNICA;Etnica_week;15,000;0.182;0.000;0;?;?;?;0.1815
VEGA;Free_Voice_top2;18,000;0.182;0.242;?;?;?;?;?
JADE;Free_SMS;?;0.182;0.362;350;?;?;?;?
B3CLA;SMART M;12,000;0.200;0.250;?;2,048;31.0000;?;0.1200
VEGA;Free_WebSMS_top1;?;0.182;0.242;100;?;?;?;?
JADE;Free_Weekend;?;?;0.362;?;?;?;?;?
VEGA;Free_WebSMS_top2;?;0.182;0.242;300;?;?;?;?
JADE;Free_Weekend;?;?;0.362;?;?;?;?;?
